,Title,Product #,Released,Lowest,Average,Highest,URL
184,University of Michigan Cheerleader Barbie,17398,1996,11,14,30,https://www.barbiedb.com/wp-content/uploads/2021/07/17398-1996-university-of-michigan-cheerleader-barbie-535x1024.jpg
185,Rebelde TV Barbie Doll,L8427,2007,35,73,90,https://www.barbiedb.com/wp-content/uploads/2020/05/rebelde-tv-barbie-doll.jpg
186,Barbie as Juliet,B5655,2004,35,73,120,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-as-juliet.jpg
187,Barbie and Curious George,28798,2001,14,73,45,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-and-curious-george.jpg
188,University of Nebraska Huskers Cheerleader Barbie,17193,1996,2,73,30,https://www.barbiedb.com/wp-content/uploads/2021/07/17193-1996-university-of-nebraska-huskers-cheerleader-barbie-535x1024.jpg
189,Uptown Chic,11623,1993,6,73,36,https://www.barbiedb.com/wp-content/uploads/2021/06/uptown-chic-1024x725.jpg
190,Noir et Blanc Barbie,B1992,2003,83,106,250,https://www.barbiedb.com/wp-content/uploads/2020/05/noir-et-blanc-barbie.jpg
191,Classic Evening Gown Barbie Doll Platinum Label,CGT31,2015,123,106,300,https://www.barbiedb.com/wp-content/uploads/2020/05/classic-evening-gown-barbie-doll-platinum-label.jpg
192,Barbie Pepsi Spirit Skipper,4867,1989,15,106,60,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-pepsi-spirit-skipper.jpg
193,Barbie Super Power Teresa Flying Hero,14031,1995,11,106,31,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-super-power-teresa-flying-hero.jpg
194,10 Years Tribute Silkstone Barbie,T2155,2010,399,106,796,https://www.barbiedb.com/wp-content/uploads/2022/03/t2155-2010-10-years-tribute-silkstone-barbie-614x1024.jpg
195,Barbie I Can Be  Space Camp Doll,N0830,2008,19,86,80,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-space-camp-doll.jpg
196,Ballet Wishes Barbie Doll – Hispanic,DKM20,2015,25,86,136,https://www.barbiedb.com/wp-content/uploads/2020/05/ballet-wishes-barbie-doll-hispanic.jpg
197,Jonathan Adler Barbie,N6579,2009,35,86,251,https://www.barbiedb.com/wp-content/uploads/2020/05/jonathan-adler-barbie.jpg
198,Happy Holidays Barbie (AA),4543,1990,11,86,70,https://www.barbiedb.com/wp-content/uploads/2020/05/happy-holidays-barbie-aa-4543.jpg
199,Barbie Beach Blast Sunshine Holiday Playset,7393,1989,15,86,300,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-beach-blast-sunshine-holiday-playset.jpg
200,Stewardess Barbie,J4256,2006,275,431,500,https://www.barbiedb.com/wp-content/uploads/2020/05/stewardess-barbie.jpg
201,"Barbie Kevin, Cool Teen Boyfirend of Skipper",9325,1990,24,431,34,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-kevin-cool-teen-boyfirend-of-skipper.jpg
202,Princess of Ancient Mexico Barbie,C2203,2004,17,431,115,https://www.barbiedb.com/wp-content/uploads/2020/05/princess-of-ancient-mexico-barbie.jpg
203,Naf Naf Ken,10998,1993,70,431,90,https://www.barbiedb.com/wp-content/uploads/2020/05/naf-naf-ken.jpg
204,Barbie 1997 Happy Holidays Barbie Hallmark Ornament,QXC5162,1997,2,431,35,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-1997-happy-holidays-barbie-hallmark-ornament.jpg
205,Southern Belle Barbie,N5009,2009,56,264,340,https://www.barbiedb.com/wp-content/uploads/2020/05/southern-belle-barbie-n5009.jpg
206,Ring in the New Year Barbie AA,52743,2001,10,264,41,https://www.barbiedb.com/wp-content/uploads/2020/05/ring-in-the-new-year-barbie-aa.jpg
207,Ken Winter Sports,13515,1994,20,264,59,https://www.barbiedb.com/wp-content/uploads/2020/05/ken-winter-sports.jpg
208,Golden Gala Barbie,N6620,2009,375,264,1451,https://www.barbiedb.com/wp-content/uploads/2020/05/golden-gala-barbie.jpg
209,Peppermint Candy Cane Barbie,57578,2003,18,264,46,https://www.barbiedb.com/wp-content/uploads/2020/05/peppermint-candy-cane-barbie.jpg
210,Moonlight Waltz Barbie,17763,1997,10,24,81,https://www.barbiedb.com/wp-content/uploads/2020/05/moonlight-waltz-barbie.jpg
211,Barbie In A Mermaid Tale Swim ‘N Dance Mermaid Barbie Doll,T1474,2009,28,24,100,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-in-a-mermaid-tale-swim-n-dance-mermaid-barbie-doll.jpg
212,Barbie I Can Be Computer Engineer,T7173,2010,20,24,100,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-computer-engineer.jpg
213,Barbie as Had a Little Lamb,21740,1999,9,24,45,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-as-had-a-little-lamb.jpg
214,Barbie I Can Be… President B Party Doll,X2931,2012,10,24,50,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-i-can-be-president-b-party-doll-x2931.jpg
215,Barbie as Beauty from BEAUTY and the BEAST,24673,2000,17,20,40,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-as-beauty-from-beauty-and-the-beast.jpg
216,Harpist Angel Barbie (AA),20551,1998,9,20,100,https://www.barbiedb.com/wp-content/uploads/2020/05/harpist-angel-barbie-aa.jpg
217,Carnaval Barbie,J0927,2006,17,20,46,https://www.barbiedb.com/wp-content/uploads/2020/05/carnaval-barbie.jpg
218,Swan Lake Ken,B2768,2003,12,20,153,https://www.barbiedb.com/wp-content/uploads/2020/05/swan-lake-ken.jpg
219,Mystery Squad Barbie Night Mission Specialist,54222,2002,9,20,30,https://www.barbiedb.com/wp-content/uploads/2020/05/mystery-squad-barbie-night-mission-specialist.jpg
220,Fashion Fever Teresa Doll,H0657,2004,45,28,76,https://www.barbiedb.com/wp-content/uploads/2020/05/fashion-fever-teresa-doll-h0657.jpg
221,Locket Surprise Ken,10964,1993,9,28,76,https://www.barbiedb.com/wp-content/uploads/2020/05/locket-surprise-ken.jpg
222,Bob Mackie Diamond Dazzle Barbie,15519,1997,21,28,93,https://www.barbiedb.com/wp-content/uploads/2020/05/bob-mackie-diamond-dazzle-barbie.jpg
223,Barbie Kitchen Playset,7472,1992,49,28,175,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-kitchen-playset.jpg
224,Barbie 2002,53976,2002,43,28,55,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-2002-53976.jpg
225,Native American Barbie,12699,1995,1,8,35,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-2002-53976.jpg
226,Lady Liberty Barbie,26934,2000,50,8,325,https://www.barbiedb.com/wp-content/uploads/2020/05/lady-liberty-barbie.jpg
227,Barbie Fashionista Barbie Doll (Tropical Print),BHY13,2013,9,8,26,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionista-barbie-doll-tropical-print.jpg
228,Barbie as Snowflake in The Nutcracker,25642,2000,14,8,31,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-as-snowflake-in-the-nutcracker.jpg
229,Bake Shop & Café,67316,1998,45,8,225,https://www.barbiedb.com/wp-content/uploads/2020/05/bake-shop-barbie.jpg
230,Ma-Ba Princess in Blue Gown,C4558,2003,14,35,70,https://www.barbiedb.com/wp-content/uploads/2020/05/ma-ba-princess-in-blue-gown-c4558.jpg
231,Barbie Fairytale Magic Ballerina Lea Doll,BCP14,2013,7,35,18,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fairytale-magic-ballerina-lea-doll-328x1024.jpg
232,Barbie Chelsea Holiday Christmas Tree Doll,CMM26,2015,7,35,15,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-chelsea-holiday-christmas-tree-doll.jpg
233,Barbie Ballerina Teresa Doll,BCP13,2013,7,35,17,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-ballerina-teresa-doll-300x1024.jpg
234,Cocktail Dress Barbie Doll,X8253,2013,75,35,476,https://www.barbiedb.com/wp-content/uploads/2020/05/cocktail-dress-barbie-doll.jpg
235,Swan Lake Ken AA,B2769,2003,19,25,35,https://www.barbiedb.com/wp-content/uploads/2020/05/swan-lake-ken-aa.jpg
236,Fantasy Goddess of the Arctic Barbie,50840,2001,109,25,286,https://www.barbiedb.com/wp-content/uploads/2020/05/fantasy-goddess-of-the-arctic-barbie.jpg
237,Bob Mackie Le Papillion Barbie,23276,1999,39,25,225,https://www.barbiedb.com/wp-content/uploads/2020/05/bob-mackie-le-papillion-barbie.jpg
238,Barbie Workin’ Out Fitness Center,67657,1997,19,25,80,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-workin-out-fitness-center.jpg
239,Skate Date Ken,56610,2002,6,25,55,https://www.barbiedb.com/wp-content/uploads/2020/05/skate-date-ken.jpg
240,Ken as Scarecrow in the Wizard Of Oz,25816,1999,2,22,70,https://www.barbiedb.com/wp-content/uploads/2020/05/25816-1999-ken-as-scarecrow-in-the-wizard-of-oz-661x1024.jpg
241,"Barbie Basics Model No. 08, Collection 001",R9924,2009,44,22,131,https://www.barbiedb.com/wp-content/uploads/2021/09/r9924-2009-barbie-basics-model-no-08-collection-001-446x1024.jpg
242,Barbie Entrepreneur Doll,CBD23,2014,12,22,35,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-entrepreneur-doll.jpg
243,International Travel Barbie,15184,1995,9,22,50,https://www.barbiedb.com/wp-content/uploads/2021/07/15184-1995-international-travel-barbie-645x1024.jpg
244,Barbie Olympic Gymnast AA,15124,1996,2,22,31,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-olympic-gymnast-aa.jpg
245,Barbie Careers Firefighter Doll,DHB23,2015,10,12,25,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-careers-firefighter-doll.jpg
246,Soccer Barbie Mia Hamm,20151,1998,1,12,31,https://www.barbiedb.com/wp-content/uploads/2020/05/soccer-barbie.jpg
247,Bob Mackie Countess Dracula Barbie,V0454,2011,300,12,886,https://www.barbiedb.com/wp-content/uploads/2020/05/bob-mackie-countess-dracula-barbie.jpg
248,Barbie So Much To Do Post Office Playset,67161,1995,35,12,300,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-so-much-to-do-post-office-playset.jpg
249,Barbie as The Princess and the Pauper Princess Anneliese Doll AA,B5769,2004,49,12,126,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-as-the-princess-and-the-pauper-princess-anneliese-doll-aa.jpg
250,University of Alabama Cheerleader,19170,1996,29,50,65,https://www.barbiedb.com/wp-content/uploads/2021/07/19170-1996-university-of-alabama-cheerleader-551x1024.jpg
251,Chinese Barbie,11180,1994,1,50,25,https://www.barbiedb.com/wp-content/uploads/2020/05/chinese-barbie.jpg
